Nº	DESCRIÇÃO	CHASSI/SERIE	ANO	PLACA
CT-04	CARRETA / TANQUE / COMBUSTIVEL  (BRANCO)	9A9V1033XXWLC56051		HPC-5208
CT-05	CARRETA / TANQUE / COMBUSTIVEL  (BRANCO)	9AU211230V1030612		KDJ-4617
HL-01-ORD0J56	TOYOTA HILUX 4X4 3.0 CD AUTOMATICA	8AJFY29G9D8539964	2013	ORD0J56
HL-02-QVN6E34	TOYOTA HILUX 4X4 2.8 D	8AJDA3CD1L1814623	2020	QVN6E34
HL-03-QVY5A79	TOYOTA HILUX 4X4 2.8 D	8AJDA3CD0L1815911	2020	QVY5A79
HL-04-QOV3G71	TOYOTA HILUX 4X4 2.8 D	8AJDA8CD2J1876574	2018	QOV3G71
HL-05-RXF8J88	TOYOTA HILUX 4X4	8AJKA3CD1R3119448	2023	RXF8J88
HL-06-RXD6G68	TOYOTA HILUX 4X4	8AJKA3CD0R3118274	2023	RX06G68
HL-07-QLN3267	MITSUBISH L200 TRITON	93XSNKB8TFCE03370	2015	QLN-3267
HL-08-QVU2C25	TOYOTA HILUX 4X4 CD AUTOMATICA	8AJBA3CD3M1672025	2021	QVU2C25
JL-01	CARRETA / REBOQUE / FACCHINI	94BN085467V012473	2006	MWD1H52
JL-02	CARRETA / REBOQUE / FACCHINI	94BN085467V012740	2006	JWC9H19
JL-03	CARRETA / REBOQUE / FACCHINI	94BN0854EEV045289	2014	OTK8I56
JL-04	CARRETA / REBOQUE / FACCHINI	94BN0854EEV045290	2014	OTK-8836
JL-05	CARRETA / REBOQUE / FACCHINI	94BN0854EEV045291	2014	OTK8J06
JL-06	CARRETA / REBOQUE / FACCHINI	94BN0854EEV045287	2014	OTK8H76
JL-07	CARRETA / REBOQUE / FACCHINI	94BN0854EEV045288	2014	OTK8H56
JL-08	CARRETA / REBOQUE / FACCHINI	94BN0884FFV047747	2015	QDL9E28
JL-09	CARRETA / REBOQUE / FACCHINI	94BN0884FFV047745	2015	QDL-9358
JL-10	CARRETA / REBOQUE / FACCHINI	94BN0884FFV047744	2015	QDL9D98
JL-11	CARRETA / REBOQUE / FACCHINI	94BN0884FFV047746	2015	QDL-9278
JL-12	CARRETA / REBOQUE / FACCHINI	94BN0884FFV047748	2015	QDL9D08
JL-13	CARRETA / REBOQUE / FACCHINI	94BN0884LMV075955	2021	QVQ5I28
JL-14	CARRETA / REBOQUE / FACCHINI	94BN0884LMVV75957	2021	QVQ5I18
JL-15	CARRETA / REBOQUE / FACCHINI	94BN0884LMV075956	2021	QVQ5I38
JL-16	CARRETA / REBOQUE / RANDON	9ADG120211M165955	2001	KEM-1827
JL-17	CARRETA / REBOQUE / RANDON	9ADD078344M205771	2004	MVX8G45
JL-18	CARRETA / REBOQUE / RANDON	3 EIXOS
JL-19	CARRETA / REBOQUE / FACCHINI	94BN0884FFV047963	2015	QDA8H16
JL-20	CARRETA / REBOQUE / FACCHINI	94BN0884FFV047962	2015	QDA8G86
JL-21	CARRETA / REBOQUE / FACCHINI	94BN0884FFV047964	2015	QDA8H66
JL-22	CARRETA / REBOQUE / RANDON	9ADD0903YYM155737	2000
JL-23	CARRETA / REBOQUE / RANDON	9ADD08030VS129268	1997	HOY0I88
JL-24	CARRETA / REBOQUE / FACCHINI	94BD0884MNV087335	2022	RWM5J70
JL-25	CARRETA / REBOQUE / FACCHINI	94BD0884MNV087330	2022	RWK4H20
JL-26	CARRETA / REBOQUE / FACCHINI	94BD0884MNV087331	2022	RWL9I90
JL-27	CARRETA / REBOQUE / FACCHINI	94BD0884MNV087332	2022	RWL9J10
JL-28	CARRETA / REBOQUE / FACCHINI	94BD0884MNV087338	2022	RWN8H90
JL-29	CARRETA / REBOQUE / FACCHINI	94BD0884MNV087341	2022	RWO3A60
JL-30	CARRETA / REBOQUE / FACCHINI	94BD0884MNV087339	2022	RWO3B20
JL-31	CARRETA / REBOQUE / FACCHINI	94BD0884MNV087340	2022	RWO3B70
JL-32	CARRETA / REBOQUE / FACCHINI	94BD0884MNV087337	2022	RWU6B69
JL-33	CARRETA / REBOQUE / FACCHINI	94BD0884MNV087336	2022	RWN8I20
JL-34	CARRETA / REBOQUE / FACCHINI	94BD0884MNV087334	2022	RWL8A60
JL-35	CARRETA / REBOQUE / FACCHINI	94BD0884MNV087333	2022	RWL8B10
JL-36	CARRETA / REBOQUE / FACCHINI	94BD0884NNV002792	2022	RWO8H53
JL-37	CARRETA / REBOQUE / FACCHINI	94BD0884NNV002793	2022	RWO8H73
JL-38	CARRETA / REBOQUE / FACCHINI	94BD0884NNV002790	2022	RWO8H43
JL-39	CARRETA / REBOQUE / FACCHINI	94BD0884NNV002791	2022	RWO8H63
JL-40	CARRETA / REBOQUE / FACCHINI	9ADD085433M188842	2003	KFA9335
JL-41	CARRETA / REBOQUE / FACCHINI	94BN085455V009759	2005	JUP9H37
JL-42	CARRETA / REBOQUE / FACCHINI	94BD0884NNV002794	2022	RWN2F25
JL-43	CARRETA / REBOQUE / FACCHINI	94BD0884NNV002796	2022	RWN2F05
JL-44	CARRETA / REBOQUE / RANDON	SEM INFORMAÇAO
JL-45	CARRETA / REBOQUE / RANDON	SEM INFORMAÇAO
JL-46	CARRETA / REBOQUE / FACCHINI	94BD0884NNV000762	2022	RWM7G03
JL-47	CARRETA / REBOQUE / FACCHINI	94BD0884NNV000761	2022	RWM7F73
JL-48	CARRETA / REBOQUE / FACCHINI
JL-49	CARRETA / REBOQUE / FACCHINI	94BD0884TVV003815	2026	TWE1G06
JL-50	CARRETA / REBOQUE / FACCHINI	94BD0884TVV003816	2026	TWE1G16
JL-51	CARRETA / REBOQUE / FACCHINI	94BD0884TVV003812	2026	TWE1F76
JL-52	CARRETA / REBOQUE / FACCHINI	94BD0884TVV003813	2026	TWE1F86
JL-53	CARRETA / REBOQUE / FACCHINI	94BD0884TVV003814	2026	TWE1F96
KEF7F35	CAMINHAO SCANIA P124	736265791		KEF7F35
MN-01	MOTONIVELADORA VOLVO G940	G940T00502497	2008
MN-02	MOTONIVELADORA VOLVO G940	G9400P00502470	2008
MN-03	MOTONIVELADORA CATERPILLAR 120H	CAT0120HK5FM02628	2002
MN-04	MOTONIVELADORA CATERPILLAR 140 GC	CAT00140VW9201051	2022
MN-05	MOTONIVELADORA CATERPILLAR 140 GC	CAT00140CW9201039	2022
MN-06	MOTONIVELADORA CATERPILLAR
MWD0268	CAMINHAO SCANIA P124	861505816		MWD0268
OFN2F90	JULIETA FACCHINI				OFN2F90
PC-01	PA CARREGADEIRA VOLVO L90F	L90FP00072395	2013
PC-03	PA CARREGADEIRA VOLVO L90F	L90FT00072413	2014
PC-04	PA CARREGADEIRA VOLVO L90F	L90FA00072405	2014
PC-05	PA CARREGADEIRA VOLVO L90F	L90FKK0072935	2019	ANTIGA JRL PC-01
PC-06	PA CARREGADEIRA VOLVO L90F	L90FV00071505	2007
PC-07	PA CARREGADEIRA VOLVO L110F	L110FCF0071001	2015
PC-08	PA CARREGADEIRA VOLVO L110F	L110FPF0071003	2015
PC-09	PA CARREGADEIRA VOLVO L90F	L90FH00071998	2011
PC-10	PA CARREGADEIRA VOLVO L90F	L90FPK0072920	2019	ANTIGA JRL PC-02
PC-11	PA CARREGADEIRA VOLVO L90F	L90FC00073088	2020
PC-12	PA CARREGADEIRA VOLVO L90F	L90FJK0072905	2019	ANTIGA JRL PC-03
PC-13	PA CARREGADEIRA VOLVO L90F	L90FA00073165	2020	ANTIGA ILM 04
PC-14	PA CARREGADEIRA VOLVO L60F	L60FAK0073765	2019
PC-15	PA CARREGADEIRA VOLVO L60F	L60FPK0073760	2019
PC-16	PA CARREGADEIRA NEW HOLLAND W-170	N8AE13563
PC-17	PA CARREGADEIRA CATERPILLAR 938K	CAT0938KEW8K02757	2021
PC-18	PA CARREGADEIRA CATERPILLAR 938K	CAT0938KJW8K02765	2021
PC-19	PA CARREGADEIRA CATERPILLAR 938K	CAT0938KJW8K02801	2021
PC-20	PA CARREGADEIRA CATERPILLAR 938K	CAT0938KJW8K02896	2022
PC-21	PA CARREGADEIRA CATERPILLAR 938K	CAT0938KHW8K03034	2022
PC-22	PA CARREGADEIRA CATERPILLAR 938K	CAT0938KPN8K03038	2022
PC-23	PA CARREGADEIRA CATERPILLAR 938K	CAT0938KW8K03029	2022
PC-24	PA CARREGADEIRA CATERPILLAR 938K	CAT0938KW8K03039	2022
PC-25	PA CARREGADEIRA CATERPILLAR 938K	CAT0938KW8K03032	2022
PC-26	PA CARREGADEIRA CATERPILLAR 938K	W8K03031	2022
PC-27	CARREGADEIRA CATERPILLAR 938K	W8K02917	2022
PC-28	CARREGADEIRA CATERPILLAR 938K	W8K02894	2022
PC-29	CARREGADEIRA CATERPILLAR 938K	W8K03035	2022
PC-30	CARREGADEIRA CATERPILLAR  950FL-DEMO.AA	CAT00950TCE700201	2024	243
PC-31	PA CARREGADEIRA VOLVO L90H	VCE0L90HH00074062	2024	134
PC-32	PA CARREGADEIRA VOLVO L90H	VCE0L90HH00074059	2024	176
PC-33	PA CARREGADEIRA VOLVO L90H	VCE0L90HC00074064	2024	263
PC-34	PA CARREGADEIRA VOLVO L90H	VCE0L90HL00074061	2024	100
PC-35	PA CARREGADEIRA VOLVO L90H	VCE0L90HE00074063	2024	151
PC-36	PA CARREGADEIRA VOLVO L90H	VCE0L90HT00074065	2024	142
PC-37	CARREGADEIRA CATERPILLAR 950	CAT00950TRM700228	2024	#N/D
PC-38	CARREGADEIRA CATERPILLAR 950	CAT00950TRM700231	2024	#N/D
PH-01	PRANCHA SEMI REBOQUE FACCHINI SRF CT	94BN086288V021189	2008	JUR-9986
RXH4G16	PRANCHA - CARGA SEMI REBOQUE	94BC1784PPV005495	2023	RXH4G16
SK-01	SKIDER CAT 545C	CAT0545CE54500813	2010
SK-02	SKIDER CAT 545C	CAT0545CV54500434	2007
SK-03	SKIDER CAT 545C	CAT0545CA54500435	2007
SK-04	SKIDER CAT 545C	CAT0545CP54501254	2014
SK-05	SKIDER CAT 545C	CAT0545CC54501252	2014
SK-06	SKIDER CAT 525C	CAT0525CC52501310
SK-07	SKIDER TIGERCAT 620-D	6205402	2011
SK-08	SKIDER TIGERCAT 610E	6101235	2017
SK-09	SKIDER CAT 545C	CAT0545CA54501035	2015
SK-10	SKIDER CAT 545C	CAT0545CJ54501029	2015
SK-11	SKIDER TIGERCAT 630H	6306217	2022
SK-12	SKIDER TIGERCAT 630H	6306240	2022
SK-13	SKIDER WEILER S250	1WS90S250HP0001330	2024
SK-14	SKIDER WEILER S250	1WS90S250PP0001334	2024
SK-15	SKIDER WEILER S250	1W90S250EP0001328	2024
SK-16	SKIDER WEILER S250	1W90S250CP0001329	2024
TE-01	TRATOR DE ESTEIRA CATERPILLAR D6-N XL	LJR01318	2013
TE-02	TRATOR DE ESTEIRA CATERPILLAR D6-N XL	LJR01320	2013
TE-03	TRATOR DE ESTEIRA CATERPILLAR D6-G SR	3SR00324
TE-04	TRATOR DE ESTEIRA CATERPILLAR D6-G SR	3SR00184
TE-05	TRATOR DE ESTEIRA CATERPILLAR D6-G SR	3SR00149
TE-06	TRATOR DE ESTEIRA NEW HOLLAND D-170	Ñ TEM PLAQUETA
TE-07	TRATOR DE ESTEIRA NEW HOLLAND D-170	Ñ TEM PLAQUETA
TE-08	TRATOR DE ESTEIRA CATERPILLAR D5	CAT000D5HZ2K01185	2022
TE-09	TRATOR DE ESTEIRA CATERPILLAR D6-N XL	LJR00617
TE-10	TRATOR DE ESTEIRA D6N	CAT00D6NJLR00617	2011
